timestamp,value,metric,device
2025-11-04 00:02:33,5.907916444444445,"device=""eth0""",eth0
2025-11-04 00:02:48,8.005123555555555,"device=""eth0""",eth0
2025-11-04 00:03:03,10.577022962962962,"device=""eth0""",eth0
2025-11-04 00:03:18,14.472646222222224,"device=""eth0""",eth0
2025-11-04 00:03:33,16.68124977777778,"device=""eth0""",eth0
2025-11-04 00:03:48,18.926985481481484,"device=""eth0""",eth0
2025-11-04 00:04:03,23.979740888888887,"device=""eth0""",eth0
2025-11-04 00:04:18,26.799149666666665,"device=""eth0""",eth0
2025-11-04 00:04:33,29.515942074074072,"device=""eth0""",eth0
2025-11-04 00:04:48,32.39408546666667,"device=""eth0""",eth0
2025-11-04 00:05:03,34.651804727272726,"device=""eth0""",eth0
2025-11-04 00:05:18,36.91990411111111,"device=""eth0""",eth0
2025-11-04 00:05:33,39.1959882051282,"device=""eth0""",eth0
2025-11-04 00:05:48,41.478345999999995,"device=""eth0""",eth0
2025-11-04 00:06:03,43.76572275555556,"device=""eth0""",eth0
2025-11-04 00:06:18,46.05717741666667,"device=""eth0""",eth0
2025-11-04 00:06:33,48.60170551633988,"device=""eth0""",eth0
2025-11-04 00:06:48,50.89840691358025,"device=""eth0""",eth0
2025-11-04 00:07:03,52.68771929824561,"device=""eth0""",eth0
2025-11-04 00:07:18,52.29473684210526,"device=""eth0""",eth0
2025-11-04 00:07:33,52.29473684210526,"device=""eth0""",eth0
2025-11-04 00:07:48,52.04912280701754,"device=""eth0""",eth0
2025-11-04 00:08:03,50.72280701754386,"device=""eth0""",eth0
2025-11-04 00:08:18,50.72280701754386,"device=""eth0""",eth0
2025-11-04 00:08:33,50.72280701754386,"device=""eth0""",eth0
2025-11-04 00:08:48,48.21754385964912,"device=""eth0""",eth0
2025-11-04 00:09:03,47.677192982456134,"device=""eth0""",eth0
2025-11-04 00:09:18,47.23508771929824,"device=""eth0""",eth0
2025-11-04 00:09:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:09:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:10:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:10:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:10:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:10:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:11:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:11:18,46.4,"device=""eth0""",eth0
2025-11-04 00:11:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:11:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:12:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:12:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:12:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:12:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:13:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:13:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:13:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:13:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:14:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:14:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:14:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:14:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:15:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:15:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:15:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:15:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:16:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:16:18,46.4,"device=""eth0""",eth0
2025-11-04 00:16:33,46.4,"device=""eth0""",eth0
2025-11-04 00:16:48,46.4,"device=""eth0""",eth0
2025-11-04 00:17:03,46.4,"device=""eth0""",eth0
2025-11-04 00:17:18,46.4,"device=""eth0""",eth0
2025-11-04 00:17:33,46.4,"device=""eth0""",eth0
2025-11-04 00:17:48,46.4,"device=""eth0""",eth0
2025-11-04 00:18:03,46.4,"device=""eth0""",eth0
2025-11-04 00:18:18,46.4,"device=""eth0""",eth0
2025-11-04 00:18:33,46.4,"device=""eth0""",eth0
2025-11-04 00:18:48,46.4,"device=""eth0""",eth0
2025-11-04 00:19:03,46.4,"device=""eth0""",eth0
2025-11-04 00:19:18,46.4,"device=""eth0""",eth0
2025-11-04 00:19:33,46.4,"device=""eth0""",eth0
2025-11-04 00:19:48,46.4,"device=""eth0""",eth0
2025-11-04 00:20:03,46.4,"device=""eth0""",eth0
2025-11-04 00:20:18,46.4,"device=""eth0""",eth0
2025-11-04 00:20:33,46.4,"device=""eth0""",eth0
2025-11-04 00:20:48,46.4,"device=""eth0""",eth0
2025-11-04 00:21:03,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:21:18,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:21:33,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:21:48,46.64561403508772,"device=""eth0""",eth0
2025-11-04 00:22:03,46.792982456140344,"device=""eth0""",eth0
2025-11-04 00:02:33,0.0,"device=""lo""",lo
2025-11-04 00:02:48,0.0,"device=""lo""",lo
2025-11-04 00:03:03,0.0,"device=""lo""",lo
2025-11-04 00:03:18,0.0,"device=""lo""",lo
2025-11-04 00:03:33,0.0,"device=""lo""",lo
2025-11-04 00:03:48,0.0,"device=""lo""",lo
2025-11-04 00:04:03,0.0,"device=""lo""",lo
2025-11-04 00:04:18,0.0,"device=""lo""",lo
2025-11-04 00:04:33,0.0,"device=""lo""",lo
2025-11-04 00:04:48,0.0,"device=""lo""",lo
2025-11-04 00:05:03,0.0,"device=""lo""",lo
2025-11-04 00:05:18,0.0,"device=""lo""",lo
2025-11-04 00:05:33,0.0,"device=""lo""",lo
2025-11-04 00:05:48,0.0,"device=""lo""",lo
2025-11-04 00:06:03,0.0,"device=""lo""",lo
2025-11-04 00:06:18,0.0,"device=""lo""",lo
2025-11-04 00:06:33,0.0,"device=""lo""",lo
2025-11-04 00:06:48,0.0,"device=""lo""",lo
2025-11-04 00:07:03,0.0,"device=""lo""",lo
2025-11-04 00:07:18,0.0,"device=""lo""",lo
2025-11-04 00:07:33,0.0,"device=""lo""",lo
2025-11-04 00:07:48,0.0,"device=""lo""",lo
2025-11-04 00:08:03,0.0,"device=""lo""",lo
2025-11-04 00:08:18,0.0,"device=""lo""",lo
2025-11-04 00:08:33,0.0,"device=""lo""",lo
2025-11-04 00:08:48,0.0,"device=""lo""",lo
2025-11-04 00:09:03,0.0,"device=""lo""",lo
2025-11-04 00:09:18,0.0,"device=""lo""",lo
2025-11-04 00:09:33,0.0,"device=""lo""",lo
2025-11-04 00:09:48,0.0,"device=""lo""",lo
2025-11-04 00:10:03,0.0,"device=""lo""",lo
2025-11-04 00:10:18,0.0,"device=""lo""",lo
2025-11-04 00:10:33,0.0,"device=""lo""",lo
2025-11-04 00:10:48,0.0,"device=""lo""",lo
2025-11-04 00:11:03,0.0,"device=""lo""",lo
2025-11-04 00:11:18,0.0,"device=""lo""",lo
2025-11-04 00:11:33,0.0,"device=""lo""",lo
2025-11-04 00:11:48,0.0,"device=""lo""",lo
2025-11-04 00:12:03,0.0,"device=""lo""",lo
2025-11-04 00:12:18,0.0,"device=""lo""",lo
