timestamp,value,metric,device
2025-11-04 00:12:33,0.0,"device=""lo""",lo
2025-11-04 00:12:48,0.0,"device=""lo""",lo
2025-11-04 00:13:03,0.0,"device=""lo""",lo
2025-11-04 00:13:18,0.0,"device=""lo""",lo
2025-11-04 00:13:33,0.0,"device=""lo""",lo
2025-11-04 00:13:48,0.0,"device=""lo""",lo
2025-11-04 00:14:03,0.0,"device=""lo""",lo
2025-11-04 00:14:18,0.0,"device=""lo""",lo
2025-11-04 00:14:33,0.0,"device=""lo""",lo
2025-11-04 00:14:48,0.0,"device=""lo""",lo
2025-11-04 00:15:03,0.0,"device=""lo""",lo
2025-11-04 00:15:18,0.0,"device=""lo""",lo
2025-11-04 00:15:33,0.0,"device=""lo""",lo
2025-11-04 00:15:48,0.0,"device=""lo""",lo
2025-11-04 00:16:03,0.0,"device=""lo""",lo
2025-11-04 00:16:18,0.0,"device=""lo""",lo
2025-11-04 00:16:33,0.0,"device=""lo""",lo
2025-11-04 00:16:48,0.0,"device=""lo""",lo
2025-11-04 00:17:03,0.0,"device=""lo""",lo
2025-11-04 00:17:18,0.0,"device=""lo""",lo
2025-11-04 00:17:33,0.0,"device=""lo""",lo
2025-11-04 00:17:48,0.0,"device=""lo""",lo
2025-11-04 00:18:03,0.0,"device=""lo""",lo
2025-11-04 00:18:18,0.0,"device=""lo""",lo
2025-11-04 00:18:33,0.0,"device=""lo""",lo
2025-11-04 00:18:48,0.0,"device=""lo""",lo
2025-11-04 00:19:03,0.0,"device=""lo""",lo
2025-11-04 00:19:18,0.0,"device=""lo""",lo
2025-11-04 00:19:33,0.0,"device=""lo""",lo
2025-11-04 00:19:48,0.0,"device=""lo""",lo
2025-11-04 00:20:03,0.0,"device=""lo""",lo
2025-11-04 00:20:18,0.0,"device=""lo""",lo
2025-11-04 00:20:33,0.0,"device=""lo""",lo
2025-11-04 00:20:48,0.0,"device=""lo""",lo
2025-11-04 00:21:03,0.0,"device=""lo""",lo
2025-11-04 00:21:18,0.0,"device=""lo""",lo
2025-11-04 00:21:33,0.0,"device=""lo""",lo
2025-11-04 00:21:48,0.0,"device=""lo""",lo
2025-11-04 00:22:03,0.0,"device=""lo""",lo
